"","time","depth","ensemble","obs_flag","species_1","species_2","forecast","data_assimilation"
"1",2001-03-04,1,1,1,0.5,0.5,0,0
"2",2001-03-04,3,1,1,0.5,0.5,0,0
"3",2001-03-04,5,1,1,0.5,0.5,0,0
"4",2001-03-04,1,2,1,0.5,0.5,0,0
"5",2001-03-04,3,2,1,0.5,0.5,0,0
"6",2001-03-04,5,2,1,0.5,0.5,0,0
"7",2001-03-04,1,3,1,0.5,0.5,0,0
"8",2001-03-04,3,3,1,0.5,0.5,0,0
"9",2001-03-04,5,3,1,0.5,0.5,0,0
"10",2001-03-04,1,4,1,0.5,0.5,0,0
"11",2001-03-04,3,4,1,0.5,0.5,0,0
"12",2001-03-04,5,4,1,0.5,0.5,0,0
"13",2001-03-04,1,5,1,0.5,0.5,0,0
"14",2001-03-04,3,5,1,0.5,0.5,0,0
"15",2001-03-04,5,5,1,0.5,0.5,0,0
"16",2001-03-04,1,6,1,0.5,0.5,0,0
"17",2001-03-04,3,6,1,0.5,0.5,0,0
"18",2001-03-04,5,6,1,0.5,0.5,0,0
"19",2001-03-04,1,7,1,0.5,0.5,0,0
"20",2001-03-04,3,7,1,0.5,0.5,0,0
"21",2001-03-04,5,7,1,0.5,0.5,0,0
"22",2001-03-04,1,8,1,0.5,0.5,0,0
"23",2001-03-04,3,8,1,0.5,0.5,0,0
"24",2001-03-04,5,8,1,0.5,0.5,0,0
"25",2001-03-04,1,9,1,0.5,0.5,0,0
"26",2001-03-04,3,9,1,0.5,0.5,0,0
"27",2001-03-04,5,9,1,0.5,0.5,0,0
"28",2001-03-04,1,10,1,0.5,0.5,0,0
"29",2001-03-04,3,10,1,0.5,0.5,0,0
"30",2001-03-04,5,10,1,0.5,0.5,0,0
"31",2001-03-04,1,1,2,0.5,0.5,0,0
"32",2001-03-04,3,1,2,0.5,0.5,0,0
"33",2001-03-04,5,1,2,0.5,0.5,0,0
"34",2001-03-04,1,2,2,0.5,0.5,0,0
